School,SchoolTerm,CourseCode,ForceSync,Server
1 QA Test School,2122FY,EDCB.SC013.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC004.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC004.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC004.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC004.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC018.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA007.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA007.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA007.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA007.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL013.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL010.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC007.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC007.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC007.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC007.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL011.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL019.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL019.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS007.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS010.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC005.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC005.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC005.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC005.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS011.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS011.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS011.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS011.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS013.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS013.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL009.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.LA102.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.LA102.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.LA103.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.LA103.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.LA103.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.LA103.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.LA104.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.LA104.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.LA104.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.LA104.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC001.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC001.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC017.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL004.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL004.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC016.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC025.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC025.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC025.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC025.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL005.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL005.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL005.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL005.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL006.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL006.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL006.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL006.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL007.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL007.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL007.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL007.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL008.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL008.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL008.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL008.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA008.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA008.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA008.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA008.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC014.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL009.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL009.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL009.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL009.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL010.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL010.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL010.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL010.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL005.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL005.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA114.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA114.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA114.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA114.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA115.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA115.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA115.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA115.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA116.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA116.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA116.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA116.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA117.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA117.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA117.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA117.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL015.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC012.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC002.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC002.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL001.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL001.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS006.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS006.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL008.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS005.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS005.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL017.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL017.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC011.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL014.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC003.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC003.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC003.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC003.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC006.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC006.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC006.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC006.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA001.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA001.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA001.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA001.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA010.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS009.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS009.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.LA006.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA012.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.EL018.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS008.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS008.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL001.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL001.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL001.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL001.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL002.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL002.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL002.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL002.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL003.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL003.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL003.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL003.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL004.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL004.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL004.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.FL004.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC019.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC009.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC024.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC024.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA011.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC015.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC008.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC022.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SC022.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA005.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.MA005.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS004.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS004.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS004.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS004.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS001.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS001.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS001.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS001.D,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS002.A,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS002.B,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS002.C,TRUE,caolacourses-pulse
1 QA Test School,2122FY,EDCB.SS002.D,TRUE,caolacourses-pulse
