Section Code,Organization Name,School Term,Genius School Term
ISS.SS.MA114.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA115.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA115.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA116.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA116.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA117.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA117.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA001.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA001.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA006.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.MA006.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC021.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC021.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC004.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC004.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC007.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC007.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC005.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC005.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC003.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC003.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC006.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SC006.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SS003.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SS003.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SS011.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SS004.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SS004.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SS001.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SS001.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SS002.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.SS002.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL005.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL005.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL006.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL006.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL009.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL009.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL010.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL010.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL001.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL001.B.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL002.A.1,2 QA FocalPoint School,2526FY,13
ISS.SS.FL002.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA101.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA101.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA101.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA101.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA102.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA102.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA102.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA102.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA103.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA103.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA103.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA103.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA104.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA104.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA104.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.LA104.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA002.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA002.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA002.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA002.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA003.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA003.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA003.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA003.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA104.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA104.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA104.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.MA104.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SC004.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SC004.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SC004.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SC004.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SC007.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SC007.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SC007.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SC007.D.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SS003.A.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SS003.B.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SS003.C.1,2 QA FocalPoint School,2526FY,13
ISS.HH.SS003.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA006.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA006.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA006.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA006.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA007.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA007.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA007.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA007.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA008.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA008.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA008.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.LA008.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.MA006.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.MA006.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.MA006.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.MA006.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.MA007.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.MA007.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.MA007.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.MA007.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.MA008.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.MA008.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.MA008.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.MA008.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC006.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC006.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC006.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC006.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC007.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC007.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC007.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC007.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC008.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC008.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC008.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC008.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC005.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC005.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC005.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC005.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC002.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC002.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC002.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC002.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC003.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC003.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC003.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SC003.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SS006.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SS006.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SS006.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SS006.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SS007.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SS007.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SS007.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SS007.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SS008.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SS008.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SS008.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.SS008.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.EL001.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.EL001.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.EL005.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.EL005.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.EL006.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.EL002.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.EL002.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.EL101.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.EL101.B.1,2 QA FocalPoint School,2526FY,13
ISS.MS.EL101.C.1,2 QA FocalPoint School,2526FY,13
ISS.MS.EL101.D.1,2 QA FocalPoint School,2526FY,13
ISS.MS.EL003.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.EL004.A.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.LA006.A.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.LA006.B.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.LA007.A.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.LA007.B.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.LA008.A.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.LA008.B.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.MA006.A.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.MA006.B.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.MA007.A.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.MA007.B.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.MA008.A.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.MA008.B.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.SC006.A.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.SC006.B.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.SC007.A.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.SC007.B.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.SC008.A.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.SC008.B.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.SS006.A.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.SS006.B.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.SS007.A.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.SS007.B.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.SS008.A.1,2 QA FocalPoint School,2526FY,13
ISS.MSSS.SS008.B.1,2 QA FocalPoint School,2526FY,13
ISS.HS.LA007.A.1,2 QA FocalPoint School,2526FY,13
ISS.HS.MA013.A.1,2 QA FocalPoint School,2526FY,13
ISS.CCHM.MA102.A.1,2 QA FocalPoint School,2526FY,13
ISS.CCHM.MA102.B.1,2 QA FocalPoint School,2526FY,13
ISS.CCHM.MA102.C.1,2 QA FocalPoint School,2526FY,13
ISS.CCHM.MA102.D.1,2 QA FocalPoint School,2526FY,13
ISS.CCHM.MA104.A.1,2 QA FocalPoint School,2526FY,13
ISS.CCHM.MA104.B.1,2 QA FocalPoint School,2526FY,13
ISS.CCHM.MA104.C.1,2 QA FocalPoint School,2526FY,13
ISS.CCHM.MA104.D.1,2 QA FocalPoint School,2526FY,13
ISS.CC.MA002.A.1,2 QA FocalPoint School,2526FY,13
ISS.CC.MA002.B.1,2 QA FocalPoint School,2526FY,13
ISS.CC.MA002.C.1,2 QA FocalPoint School,2526FY,13
ISS.CC.MA002.D.1,2 QA FocalPoint School,2526FY,13
ISS.TC.MA001.A.1,2 QA FocalPoint School,2526FY,13
ISS.TC.MA001.B.1,2 QA FocalPoint School,2526FY,13
ISS.TC.MA001.C.1,2 QA FocalPoint School,2526FY,13
ISS.TC.MA001.D.1,2 QA FocalPoint School,2526FY,13
ISS.CCHM.SC004.A.1,2 QA FocalPoint School,2526FY,13
ISS.CCHM.SC004.B.1,2 QA FocalPoint School,2526FY,13
ISS.CCHM.SC004.C.1,2 QA FocalPoint School,2526FY,13
ISS.CCHM.SC004.D.1,2 QA FocalPoint School,2526FY,13
ISS.CCHM.SC007.A.1,2 QA FocalPoint School,2526FY,13
ISS.CCHM.SC007.B.1,2 QA FocalPoint School,2526FY,13
ISS.CCHM.SC007.C.1,2 QA FocalPoint School,2526FY,13
ISS.CCHM.SC007.D.1,2 QA FocalPoint School,2526FY,13
ISS.CC.SS012.A.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.CB.LA102.A.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.CB.LA102.B.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.CB.LA102.C.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.CB.LA102.D.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.LA001.A.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.LA001.B.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.CB.MA102.A.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.CB.MA102.B.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.CB.MA102.C.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.CB.MA102.D.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.MA001.A.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.MA001.B.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.MA006.A.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.MA006.B.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.MA006.C.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.MA006.D.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.MA007.A.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.MA007.B.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.MA007.C.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.MA007.D.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.MA008.A.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.MA008.B.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.MA008.C.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.MA008.D.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.CB.SC004.A.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.CB.SC004.B.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.CB.SC004.C.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.CB.SC004.D.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.SC001.A.1,2 QA FocalPoint School,2526FY,13
ISS.CCPA.SC001.B.1,2 QA FocalPoint School,2526FY,13
ISS.OI.EL007.A.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.AC.001.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.AC.002.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.AC.003.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.AC.004.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.AC.005.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.AC.006.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.AC.007.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.AFN.001.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.AFN.002.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.AFN.003.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.ATC.001.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.ATC.002.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.ATC.003.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.ATC.004.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.ATC.005.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.ATC.006.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.BMA.001.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.BMA.002.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.BMA.003.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.BMA.004.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.BMA.005.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.BMA.007.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.BMA.008.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.BMA.009.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.BMA.010.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.FIN.001.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.FIN.002.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.FIN.003.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.FIN.004.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.FIN.005.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.ED.001.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.ED.002.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.ED.003.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.ED.004.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.HS.001.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.HS.002.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.HS.003.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.HS.004.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.HS.005.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.HS.006.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.IT.001.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.IT.002.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.IT.003.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.IT.004.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.IT.005.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.IT.006.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.IT.007.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.MA.001.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.MA.002.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.STEM.001.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.STEM.002.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.STEM.003.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.STEM.004.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.STEM.005.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.STEM.006.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.STEM.007.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.STEM.008.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.AD.001.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.AD.002.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.AD.003.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.AD.004.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.AD.005.1,2 QA FocalPoint School,2526FY,13
ISS.CTE.AD.006.1,2 QA FocalPoint School,2526FY,13
ISS.HS.CE001.A.1,2 QA FocalPoint School,2526FY,13
ISS.MS.CE001.A.1,2 QA FocalPoint School,2526FY,13
